"CumulusCatalog","CumulusRecordID","CumulusRecordName","dcterms:modified","dcterms:title","dc:source","dcterms:type","ac:subtype","ac:caption","iptc:CVTerm","ac:subjectPart","ac:subjectOrientation","xmp:CreateDate","ac:digitizationDate","dcterms:creator","dc:creator","dcterms:rightsHolder","dcterms:license","dc:rights","dwc:scientificName","dwc:catalogNumber","dwc:recordedBy","dwc:recordNumber","dwc:country","dwc:countryCode","dwc:stateProvince","dwc:locality","dwc:decimalLatitude","dwc:decimalLongitude","exif:PixelXDimension","exif:PixelYDimension","HeroImage","xmp:Rating","ThumbnailUrlEnabled","PreviewUrlEnabled","FileFormat"
"flora_illustrations","2001","BRYOPROL.TIF","","Bryophyllum proliferum","","Image","Illustration","","","","","2012-10-18 15:23:24","2012-10-18 15:23:24","Pearson, Su","","Royal Botanic Gardens Victoria","","","Bryophyllum proliferum","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2002","SYMPORBI.TIF","","Symphoricarpos orbiculatus","","Image","Illustration","","","","","2012-10-18 15:28:04","2012-10-18 15:28:04","Pearson, Su","","Royal Botanic Gardens Victoria","","","Symphoricarpos orbiculatus","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2003","HAKEMULT.TIF","","Hakea multilineata","","Image","Illustration","","","","","2012-10-18 15:26:12","2012-10-18 15:26:12","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea multilineata","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2004","BUCKCELS.TIF","","Buckinghamia celsissima","","Image","Illustration","","","","","2012-10-18 15:23:24","2012-10-18 15:23:24","Pearson, Su","","Royal Botanic Gardens Victoria","","","Buckinghamia celsissima","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2006","BURSSPIN.TIF","","Bursaria spinosa","","Image","Illustration","","","","","2012-10-18 15:23:26","2012-10-18 15:23:26","Pearson, Su","","Royal Botanic Gardens Victoria","","","Bursaria spinosa","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2008","HAKENODO.TIF","","Hakea nodosa","","Image","Illustration","","","","","2012-10-18 15:26:14","2012-10-18 15:26:14","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea nodosa","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2009","SYRIJOSI.TIF","","Syringa josikaea","","Image","Illustration","","","","","2012-10-18 15:28:04","2012-10-18 15:28:04","Pearson, Su","","Royal Botanic Gardens Victoria","","","Syringa josikaea","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2011","HAKEOBTU.TIF","","Hakea obtusa","","Image","Illustration","","","","","2012-10-18 15:26:14","2012-10-18 15:26:14","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea obtusa","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2012","CALCINTE.TIF","","Calceolaria integrifolia","","Image","Illustration","","","","","2012-10-18 15:23:26","2012-10-18 15:23:26","Pearson, Su","","Royal Botanic Gardens Victoria","","","Calceolaria integrifolia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2013","SYRIPINN.TIF","","Syringa pinnatifolia","","Image","Illustration","","","","","2012-10-18 15:28:04","2012-10-18 15:28:04","Pearson, Su","","Royal Botanic Gardens Victoria","","","Syringa pinnatifolia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
